"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Belgium","BEL","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6075","7.821666667","7.813333333","8.124166667","8.579166667","8.386666667","8.500833333","7.9925","7.654166667","7.258333333","6.998333333","6.925","5.266666667","5.393333333","5.311666667","5.095","5.3","","","",
"Burkina Faso","BFA","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6075","7.821666667","7.813333333","8.124166667","8.579166667","8.386666667","8.500833333","7.9925","7.654166667","7.258333333","6.998333333","6.925","5.581666667","5.393333333","5.311666667","5.095","5.3","","","",
"Bangladesh","BGD","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","7.653799759","7.937273824","7.937273824","7.937273824","9.35464415","13.60675513","13.60675513","13.60675513","13.60675513","13.60675513","13.60675513","13.60675513","13.60675513","13.60675513","13.65211098","13.66344994","11.86716928","9.273381584","7.260715722","6.852513068","8.259489345","9.200623241","9.301666667","9.4375","8.686666667","9.153333333","7.9075","7.11","5.801666667","5.534166667","5.985","6.993333333","7.546666667","7.814166667","7.210833333","8.8375","10.21583333","11.72166667","9.8","8.244166667","6.199166667","5.605833333","6.6575","6.775","6.0675","5.045","5.555229392","6.518333333","8.519081017",
"Bulgaria","BGR","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.138479167","2.919383333","2.803166667","2.932291667","3.049708333","3.08435","3.172566667","3.68195","4.444641667","6.1775","4.076075","3.368266667","3.084166667","2.413308333","1.655816667","0.613891667","0.173383333","0.0463083333333333","0.0274583333333333","0.0249666666666667","0.0133083333333333","0.0157666666666667","0.0198833333333333","0.0974833333333333","0.325308333",
"Bahrain","BHR","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","6.5","6.5","6.5","6.833333333","7.875","9","8.583333333","7","7","6.708333333","5.58333333333333","5","5.5","7.33333333333333","7.5","","3.625","3.025","4","5.7","5.175","5.275","4.735","4.795","5.8175","2.7075","1.335","1.475","1.5425","3.1425","4.37","4.485","1.6475","1.58166666666667","1.225","1.0225","1.08416666666667","1.05833333333333","0.981666666666668","0.993333333333333","","","","","","","","","",
"Bahamas, The","BHS","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","6.398333333","5.57","5.5","5.97","6.483333333","6.570833333","6.916666667","6.133333333","5.19","4.300833333","4.196666667","5.135833333","5.228333333","5.3625","4.5725","4.079166667","4.245833333","4.251666667","3.949166667","3.825","3.223333333","3.358333333","3.690833333","3.920833333","3.7825","3.440833333","2.63369187","2.012083333","1.68","1.4175","1.405","1.241666667","0.994166667","0.840833333","0.588333333","0.452291667","0.521958333","0.5175","0.538333333","0.542708333",
"Bosnia and Herzegovina","BIH","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.528333333","4.025","3.720833333","3.564166667","3.693333333","3.555833333","3.485","3.6","3.159166667","2.795833333","3.177333333","3.00616795","2.661785471","2.059663519","1.582565507","1.208989576","0.981735723","0.912892645","0.795801581","0.576406843","0.641369832","1.175386326","1.610281227",
"Belarus","BLR","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.075","89.6","100.8166667","32.35833333","15.64166667","14.33333333","23.8","37.55","34.175","26.85","17.44166667","12.71666667","9.233333333","7.683333333","8.308333333","8.525","10.68333333","9.091666667","13.30833333","22.3","20.25833333","18.58333333","19.90833333","14.64166667","6.999109131","5.920833333","6.5075","6.608333333","8.354166667","8.420833333","4.852288371","5.5625",
"Belize","BLZ","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","7.099999999","6.699999999","6.799999999","6.799999999","11.175","14.675","14.86666667","11.3","9.075","11.625","11.83333333","9.583333333","8.416666667","7.858333333","8.141666667","8.416666667","8.15","8.133333333","8.55","9.366666667","9.075","9.185833333","8.755833333","8.121666667","7.694166667","6.353333333","6.28","6.934166667","7.419166667","7.711666667","8.155","8.3225","8.4575","8.3725","7.760833333","6.440833333","4.4125","3.585","2.897061368","2.60059702","2.297762236","2.119428902","1.999166667","1.950833333","2.18","2.229166667","2.222385268","2.0825","2.068115677",
